Ma,Re_L,alpha_L,c_i,c_r,family
3,1095.467968,0.133793,2.85148070e-03,3.87715626e-01,TS
3,1232.350046,0.133793,2.65067145e-03,3.87414608e-01,TS
3,1386.335959,0.133793,2.43654637e-03,3.87214427e-01,TS
3,1559.562883,0.133793,2.24036340e-03,3.87106137e-01,TS
3,1754.435043,0.133793,2.08598309e-03,3.87069876e-01,TS
3,1973.657075,0.133793,1.98590132e-03,3.87079891e-01,TS
3,2220.271572,0.133793,1.94080589e-03,3.87110564e-01,TS
3,2497.701306,0.133793,1.94218362e-03,3.87141159e-01,TS
3,2809.796735,0.133793,1.97634122e-03,3.87158168e-01,TS
3,3160.889444,0.133793,2.02829785e-03,3.87155440e-01,TS
3,3555.852262,0.133793,2.08473714e-03,3.87132875e-01,TS
3,4000.166894,0.133793,2.13581515e-03,3.87094415e-01,TS
3,4500.000000,0.133793,2.17588137e-03,3.87045874e-01,TS
3,300.000000,0.141379,8.28016031e-05,4.14918562e-01,TS
3,337.485919,0.141379,6.64279144e-04,4.14489073e-01,TS
3,379.655818,0.141379,1.17575696e-03,4.14020848e-01,TS
3,427.094976,0.141379,1.60846255e-03,4.13518806e-01,TS
3,480.461801,0.141379,1.95319651e-03,4.12992260e-01,TS
3,540.496975,0.141379,2.20213741e-03,4.12455412e-01,TS
3,608.033727,0.141379,2.35108278e-03,4.11927124e-01,TS
3,684.009404,0.141379,2.40181435e-03,4.11429647e-01,TS
3,769.478474,0.141379,2.36404023e-03,4.10986116e-01,TS
3,865.627167,0.141379,2.25615247e-03,4.10616903e-01,TS
3,973.789933,0.141379,2.10401149e-03,4.10335476e-01,TS
3,1095.467968,0.141379,1.93738516e-03,4.10144986e-01,TS
3,1232.350046,0.141379,1.78464530e-03,4.10037100e-01,TS
3,1386.335959,0.141379,1.66742316e-03,4.09993947e-01,TS
3,1559.562883,0.141379,1.59724114e-03,4.09992609e-01,TS
3,1754.435043,0.141379,1.57518113e-03,4.10010355e-01,TS
3,1973.657075,0.141379,1.59413008e-03,4.10028742e-01,TS
3,2220.271572,0.141379,1.64223413e-03,4.10035679e-01,TS
3,2497.701306,0.141379,1.70628477e-03,4.10025608e-01,TS
3,2809.796735,0.141379,1.77434450e-03,4.09998410e-01,TS
3,3160.889444,0.141379,1.83741046e-03,4.09957669e-01,TS
3,3555.852262,0.141379,1.89013186e-03,4.09908727e-01,TS
3,4000.166894,0.141379,1.93066782e-03,4.09856882e-01,TS
3,4500.000000,0.141379,1.95985558e-03,4.09806054e-01,TS
3,300.000000,0.148966,2.08441538e-04,4.34231995e-01,TS
3,337.485919,0.148966,6.86048713e-04,4.33773544e-01,TS
3,379.655818,0.148966,1.07947079e-03,4.33290521e-01,TS
3,427.094976,0.148966,1.38180483e-03,4.32794574e-01,TS
3,480.461801,0.148966,1.58877881e-03,4.32301828e-01,TS
3,540.496975,0.148966,1.70098329e-03,4.31831957e-01,TS
3,608.033727,0.148966,1.72583508e-03,4.31406115e-01,TS
