Ma,Re_L,alpha_L,c_i
4,865.627167,0.232414,-1.38695836e-03
4,865.627167,0.240000,-1.41236588e-03
4,973.789933,0.020000,-3.54936545e-02
4,973.789933,0.027586,1.15311303e-02
4,973.789933,0.035172,-2.86760081e-02
4,973.789933,0.042759,-9.70242013e-03
4,973.789933,0.050345,-2.21895010e-03
4,973.789933,0.057931,4.39599278e-03
4,973.789933,0.065517,6.83244692e-03
4,973.789933,0.073103,-4.09478284e-03
4,973.789933,0.080690,-7.76913281e-04
4,973.789933,0.088276,1.36034093e-03
4,973.789933,0.095862,2.40396389e-03
4,973.789933,0.103448,2.46895139e-03
4,973.789933,0.111034,1.99767646e-03
4,973.789933,0.118621,1.41447122e-04
4,973.789933,0.126207,6.58358900e-04
4,973.789933,0.133793,7.29856421e-04
4,973.789933,0.141379,5.23728514e-04
4,973.789933,0.148966,2.50272918e-04
4,973.789933,0.156552,2.65518392e-05
4,973.789933,0.164138,-2.32412548e-04
4,973.789933,0.171724,-3.47165953e-04
4,973.789933,0.179310,-5.04788419e-04
4,973.789933,0.186897,-6.37656915e-04
4,973.789933,0.194483,-7.29275388e-04
4,973.789933,0.202069,-7.88163787e-04
4,973.789933,0.209655,-1.05732446e-03
4,973.789933,0.217241,-1.13902153e-03
4,973.789933,0.224828,-1.19392631e-03
4,973.789933,0.232414,-1.22654624e-03
4,973.789933,0.240000,-1.24498668e-03
4,1095.467968,0.020000,-3.13965363e-02
4,1095.467968,0.027586,1.37166781e-02
4,1095.467968,0.035172,-2.78403587e-02
4,1095.467968,0.042759,-9.30222453e-03
4,1095.467968,0.050345,-1.35143751e-03
4,1095.467968,0.057931,5.11390431e-03
4,1095.467968,0.065517,7.15566469e-03
4,1095.467968,0.073103,6.35244694e-03
4,1095.467968,0.080690,-3.22157337e-04
4,1095.467968,0.088276,1.76812659e-03
4,1095.467968,0.095862,2.64858503e-03
4,1095.467968,0.103448,2.51167030e-03
4,1095.467968,0.111034,1.94231068e-03
4,1095.467968,0.118621,4.50273116e-04
4,1095.467968,0.126207,8.70935824e-04
4,1095.467968,0.133793,8.25446808e-04
4,1095.467968,0.141379,5.52172119e-04
4,1095.467968,0.148966,2.75588098e-04
